# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	22705
#@/user_id	11b0f9ec-6c9a-4124-8c37-c6e1e2ec6fbd
a 	啊	c=136 d=1 t=22529
yi zhan tie 	一粘貼	c=1 d=1 t=17084
yi zhang 	一丈	c=1 d=1 t=18666
yi zhang zhi 	一張紙	c=1 d=1 t=371
yi zhao 	依照	c=1 d=1 t=11323
yi zheng 	一整	c=0 d=0.1 t=5760
yi zheng zhou 	一整周	c=1 d=1 t=5761
yi zhi 	一直	c=11 d=1 t=12479
yi zhi 	一致	c=1 d=1 t=21524
yi zhi 	一隻	c=1 d=1 t=21522
yi zhi 	遺址	c=1 d=1 t=10061
yi zhi dou 	一直都	c=0 d=0.1 t=18657
yi zhi dou shi 	一直都是	c=1 d=1 t=18658
yi zhi yu 	以至於	c=1 d=1 t=8605
yi zhi zai 	一直在	c=1 d=1 t=1308
yi zhong 	一種	c=9 d=1.47574 t=22461
yi zhou 	益州	c=1 d=1 t=12903
yin 	因	c=2 d=1 t=21832
yin 	尹	c=5 d=2.3389 t=12072
yin 	引	c=1 d=1.1 t=103
yin 	殷	c=1 d=1 t=13602
yin 	音	c=1 d=1 t=17480
yin bian liang 	因變量	c=4 d=3.45217 t=21860
yin cang 	隱藏	c=2 d=1 t=18090
yin cang zhe 	隱藏着	c=1 d=1 t=5736
yin ci 	因此	c=3 d=1.07887 t=21275
yin dao 	引導	c=4 d=1.74809 t=21162
yin de 	引得	c=1 d=1 t=12840
yin du 	印度	c=1 d=1 t=13921
yin gui 	音軌	c=0 d=0.1 t=3468
yin han 	隱含	c=1 d=1 t=11084
yin hang 	銀行	c=2 d=1 t=11735
yin li 	陰曆	c=2 d=1.9802 t=9531
yin lun 	引論	c=1 d=1 t=9828
yin man 	隱瞞	c=1 d=1 t=19598
yin qi 	引起	c=1 d=0.1 t=12601
yin qi le 	引起了	c=3 d=2.94092 t=12609
yin qing 	引擎	c=1 d=1 t=4324
yin su 	因素	c=5 d=0.827327 t=21039
yin wei 	因爲	c=64 d=1.11018 t=22627
yin wei zi ji 	因爲自己	c=1 d=1 t=5172
yin xiang 	印象	c=1 d=1 t=21931
yin xing 	隱形	c=1 d=1 t=11217
yin yin 	隱隱	c=1 d=1 t=13222
yin ying 	陰影	c=1 d=1 t=13221
yin yong 	引用	c=10 d=1.19205 t=19077
yin yue 	音樂	c=4 d=2.85859 t=4353
ying 	英	c=1 d=1 t=4938
ying 	贏	c=2 d=1 t=14200
ying bu le 	贏不了	c=1 d=1 t=5833
ying dang 	應當	c=1 d=1 t=20029
ying gai 	應該	c=9 d=1 t=22588
ying gai ba 	應該把	c=1 d=1 t=8711
ying gai bei 	應該被	c=1 d=1 t=20301
ying gai bu nan 	應該不難	c=1 d=1 t=5264
ying gai shi 	應該是	c=6 d=1.09193 t=17932
ying gai yong 	應該用	c=1 d=1 t=5529
ying guo 	英國	c=11 d=1.95123 t=22526
ying guo jiu mei 	英國就沒	c=1 d=1 t=6946
ying han 	英漢	c=1 d=1 t=349
ying ji li 	英吉利	c=1 d=1 t=4151
ying jian 	硬件	c=0 d=0.1 t=6669
ying jian wen ti 	硬件問題	c=1 d=1 t=6670
ying li 	盈利	c=2 d=1 t=20054
ying mei 	英美	c=0 d=0.1 t=4491
ying mei ren 	英美人	c=1 d=1 t=4492
ying ming 	英明	c=0 d=0.1 t=13487
ying ming tian zong 	英明天縱	c=1 d=1 t=13488
ying pan 	硬盤	c=2 d=1.00009 t=5363
ying pan shang you 	硬盤上有	c=1 d=1 t=3506
ying ping 	影評	c=1 d=1 t=4231
ying shang 	硬傷	c=1 d=1 t=5112
ying she 	映射	c=1 d=1 t=21537
ying shi 	硬是	c=1 d=1 t=978
ying wen 	英文	c=10 d=1 t=17073
ying xiang 	影響	c=25 d=1.15427 t=22665
ying xiang dao 	影響到	c=1 d=1 t=21841
ying xiang ju da 	影響巨大	c=1 d=1 t=6599
ying xiang le 	影響了	c=1 d=1 t=12179
ying xiang li 	影響力	c=2 d=1.8311 t=20522
ying xiang zui da 	影響最大	c=1 d=1 t=6601
ying xiao ce lve 	營銷策略	c=1 d=1 t=21126
ying yong 	應用	c=15 d=4.50935 t=18269
ying yong ceng 	應用層	c=1 d=1 t=5262
ying yong cheng xu 	應用程序	c=1 d=1 t=18225
ying yong dao 	應用到	c=1 d=1 t=16041
ying yu 	英語	c=7 d=2.01313 t=17467
ying zheng 	嬴政	c=2 d=1.21654 t=9659
yo guan 	喲管	c=1 d=1 t=7220
yo xi 	喲系	c=1 d=1 t=5994
yong 	用	c=105 d=1.00223 t=21824
yong bu liao 	用不了	c=1 d=1 t=12549
yong chu 	用處	c=1 d=1 t=7687
yong dao 	用到	c=3 d=1 t=7674
yong de 	用的	c=1 d=1 t=624
yong de dao 	用得到	c=1 d=1 t=17840
yong fa 	用法	c=6 d=1.7788 t=19400
yong guo 	用過	c=4 d=1.00409 t=6588
yong hu 	用戶	c=2 d=1 t=5184
yong hu ming 	用戶名	c=1 d=1 t=2595
yong hui qu 	用回去	c=1 d=1 t=610
yong jin 	用盡	c=0 d=0.1 t=22533
yong jin yi qie 	用盡一切	c=1 d=1.09005 t=22536
yong jin yi qie ban fa 	用盡一切辦法	c=1 d=1 t=22537
yong lai 	用來	c=12 d=1.46695 t=17230
yong le 	永樂	c=1 d=1 t=3188
yong ren 	用人	c=1 d=1 t=12795
yong shang 	用上	c=0 d=0.1 t=1262
yong you 	擁有	c=6 d=1.00001 t=19940
yong you hen jiu le 	擁有很久了	c=1 d=1 t=8524
yong yuan 	永遠	c=5 d=1.0153 t=14995
yong yuan shi 	永遠是	c=1 d=1 t=14158
yong zheng 	雍正	c=2 d=1 t=16231
you 	佑	c=16 d=2.38324 t=17226
you 	又	c=28 d=1 t=21476
you 	右	c=1 d=1 t=19555
you 	有	c=125 d=1.52281 t=22683
you 	由	c=12 d=1.04311 t=16013
you 	遊	c=1 d=1 t=10067
you bi yao 	有必要	c=1 d=1 t=21276
you bian 	右邊	c=1 d=1 t=2868
you bu shao ren zhao 	有不少人找	c=1 d=1 t=5313
you bu shi 	又不是	c=1 d=1 t=3433
you ci ke jian 	由此可見	c=2 d=1.05208 t=20101
you cuo 	有錯	c=1 d=0.1 t=13888
you dai 	有待	c=0 d=0.1 t=20304
you dai wan shang 	有待晚上	c=1 d=1 t=20305
you dai yu 	有待於	c=1 d=1 t=20764
you dao 	有道	c=1 d=1 t=8271
you dao de 	有道德	c=1 d=1 t=22684
you dao li 	有道理	c=1 d=0.467879 t=14008
you de shi hou 	有的時候	c=1 d=1 t=7445
you dian 	優點	c=1 d=1 t=12577
you dian 	有點	c=5 d=1 t=18089
you dian da 	有點大	c=1 d=1 t=5233
you dian man 	有點滿	c=1 d=1 t=3547
you dian wen ti 	有點問題	c=1 d=1 t=6
you ge 	有個	c=13 d=1.54064 t=18539
you guan 	有關	c=1 d=1 t=7221
you he 	有何	c=1 d=1 t=9415
you hen da 	有很大	c=0 d=0.1 t=2226
you hen da gai lv 	有很大概率	c=1 d=1 t=2227
you hen duo 	佑很多	c=2 d=1.0006 t=21784
you hen duo duo 	佑很多多	c=1 d=1 t=20761
you hen duo ren 	有很多人	c=0 d=0.1 t=6394
you hua 	優化	c=3 d=1 t=9117
you hui 	優惠	c=1 d=1 t=6402
you ji 	有機	c=3 d=1.09615 t=21129
you ji 	郵寄	c=6 d=3.87339 t=22528
you ji hui 	又機會	c=2 d=1 t=19625
you jian 	郵件	c=2 d=1.06561 t=17891
you kong 	有空	c=2 d=1 t=12466
you lai 	由來	c=1 d=1 t=13145
you le 	有了	c=8 d=1 t=12668
you li 	有利	c=2 d=1.22091 t=10671
you mei you 	有沒有	c=1 d=1 t=5617
you mei you ren 	有沒有人	c=0 d=0.1 t=4951
you pian wen zhang 	有篇文章	c=1 d=1 t=6661
you qi 	尤其	c=1 d=1 t=15210
you qi 	有其	c=2 d=1.9802 t=12880
you qi shi 	尤其是	c=3 d=1 t=20472
you qian 	有錢	c=1 d=0.1 t=18379
you qu 	有趣	c=2 d=1 t=16853
you ren 	有人	c=5 d=1 t=18779
you ren yong 	有人用	c=1 d=1 t=5267
you rong 	優容	c=1 d=1 t=13280
you shen me 	有什麼	c=5 d=1.00021 t=16461
you shen me wen ti 	又什麼問題	c=1 d=1 t=4646
you shi 	優勢	c=3 d=1 t=10079
you shi 	又是	c=2 d=1.02816 t=12627
you shi 	有時	c=1 d=1 t=19887
you shi hou 	有時候	c=4 d=1 t=22673
you shi ju 	優勢局	c=1 d=1 t=6026
you shi ju 	有時局	c=1 d=1 t=6025
you shou 	右手	c=1 d=1 t=18580
you shui ping 	有水平	c=1 d=1 t=1231
you ting 	遊艇	c=1 d=1 t=18368
you tou 	由頭	c=1 d=1 t=19631
you wen ti 	有問題	c=1 d=1 t=19653
you xi 	遊戲	c=6 d=1 t=19015
you xian 	優先	c=2 d=1 t=16912
you xian 	有限	c=3 d=1.97721 t=11567
you xiang 	郵箱	c=2 d=1.00013 t=2780
you xiao 	有效	c=1 d=1 t=21563
you xiao lv 	有效率	c=1 d=1 t=10900
you xie 	有些	c=10 d=1.12826 t=20908
you xie man 	有些慢	c=1 d=1 t=3553
you xie ren 	有些人	c=1 d=1 t=4029
you xie shi 	有些事	c=0 d=0.1 t=7463
you xie shi hou 	有些事後	c=1 d=1 t=7464
you xin wu li 	有心無力	c=1 d=1 t=9328
you xiu 	優秀	c=1 d=1 t=22021
you xiu cha jian 	優秀插件	c=1 d=1 t=9911
you ya 	優雅	c=2 d=1 t=17560
you yi 	友誼	c=1 d=1 t=9704
you yi 	有一	c=0 d=0.1 t=21749
you yi dian 	有一點	c=1 d=1 t=6988
you yi duan 	有一段	c=1 d=1 t=8821
you yi ge 	有一個	c=4 d=1.04979 t=17541
you yi shi 	有意識	c=1 d=1 t=21160
you yi si 	有意思	c=1 d=1 t=2865
you yi ti 	有一體	c=1 d=1 t=730
you yi wu yi 	有意無意	c=1 d=1 t=19596
you yi xie 	有一些	c=1 d=1 t=20441
you yi yang 	佑一樣	c=1 d=1 t=6240
you yi yi 	有意義	c=1 d=1 t=20754
you yi zhong 	有一種	c=1 d=1 t=13950
you yi zhou 	有一周	c=1 d=1 t=21750
you yong 	有用	c=2 d=1 t=18139
you yong 	游泳	c=1 d=1 t=6211
you you 	又有	c=2 d=1 t=20808
you yu 	由於	c=1 d=1 t=21699
you ze ren 	有責任	c=0 d=0.1 t=22679
you ze ren zai 	有責任在	c=1 d=1 t=22680
you zhe ge 	有這個	c=1 d=1 t=4128
you zhi 	優質	c=0 d=0.1 t=3544
you zhi kong jian 	優質空間	c=1 d=1 t=3545
you zhi yuan 	幼稚園	c=0 d=0.1 t=9323
yu 	於	c=14 d=1.87215 t=20940
yu 	與	c=18 d=1.00972 t=16803
yu 	語	c=1 d=1 t=16309
yu 	預	c=1 d=1 t=19111
yu 	餘	c=1 d=1 t=12809
yu bo 	玉帛	c=1 d=1 t=11756
yu ce 	預測	c=4 d=3.0991 t=2722
yu chan qi 	預產期	c=1 d=1 t=9805
yu ci 	於此	c=1 d=1.09704 t=13
yu dao 	遇到	c=1 d=1 t=5547
yu dao le 	遇到了	c=2 d=1 t=4727
yu dao wen ti 	遇到問題	c=1 d=1 t=7372
yu fa 	語法	c=8 d=1 t=17721
yu ge 	餘個	c=0 d=0.1 t=5968
yu jia 	榆莢	c=1 d=1 t=11745
yu lan 	預覽	c=4 d=1.75637 t=7804
yu le 	娛樂	c=1 d=1.08511 t=17117
yu le she shi 	娛樂設施	c=1 d=1 t=17118
yu lun 	輿論	c=1 d=1 t=21096
yu ming 	域名	c=12 d=3.16603 t=4161
yu qi 	與其	c=1 d=1 t=4277
yu qi 	預期	c=1 d=1 t=4276
yu ren 	與人	c=0 d=0.1 t=12347
yu ren wu hai 	與人無害	c=1 d=1 t=12348
yu shi 	於是	c=6 d=1.00642 t=17173
yu wo 	與我	c=1 d=1 t=19872
yu xian 	預先	c=2 d=1 t=10491
yu yan 	語言	c=11 d=2.03008 t=17838
yu yin 	語音	c=3 d=1.01139 t=17071
yu zhou 	宇宙	c=0 d=0.1 t=12209
yuan 	元	c=15 d=6.3317 t=20014
yuan 	員	c=4 d=1.99501 t=11825
yuan 	園	c=12 d=2.03283 t=17151
yuan 	淵	c=2 d=0.1 t=19336
yuan 	源	c=2 d=1.8825 t=18147
yuan 	遠	c=1 d=1 t=14041
yuan ban 	原版	c=1 d=1 t=14968
yuan bu ru 	遠不如	c=0 d=0.1 t=7505
yuan cai liao 	原材料	c=2 d=1.98511 t=9247
yuan chang 	原廠	c=1 d=1 t=2480
yuan cheng 	遠程	c=3 d=1 t=8025
yuan cheng kong zhi 	遠程控制	c=1 d=1 t=3619
yuan chuang 	原創	c=1 d=1 t=19643
yuan da tou 	冤大頭	c=1 d=1 t=4019
yuan dai 	元代	c=1 d=1 t=18809
yuan dai ma 	源代碼	c=6 d=1 t=18060
yuan duan 	遠端	c=1 d=1 t=8037
yuan feng bu dong 	原封不動	c=1 d=1 t=6436
yuan gong 	員工	c=2 d=1 t=19785
yuan gu 	緣故	c=1 d=1 t=12160
yuan lai 	原來	c=3 d=1 t=17290
yuan li 	原理	c=6 d=1.00003 t=17629
yuan man 	圓滿	c=1 d=1 t=19914
yuan nian 	元年	c=2 d=1 t=14366
yuan nian 	怨念	c=1 d=1 t=6112
yuan shao 	袁紹	c=5 d=2.41025 t=19691
yuan sheng 	原生	c=1 d=1 t=5176
yuan su 	元素	c=2 d=1 t=7744
yuan wen 	原文	c=3 d=1.0283 t=19353
yuan wen ru ci 	原文如此	c=1 d=1 t=9370
yuan xiong 	元兇	c=1 d=1 t=6515
yuan yi 	願意	c=5 d=1.04691 t=20999
yuan yin 	原因	c=4 d=1 t=21313
yuan yin le 	原因了	c=1 d=1 t=18407
yuan yuan 	遠遠	c=1 d=0.1 t=21958
yuan yuan ben ben 	原原本本	c=2 d=1 t=16781
yuan yuan bu ru 	員遠不如	c=1 d=1 t=7506
yuan yuan bu ru 	遠遠不如	c=1 d=1 t=7507
yuan yuan bu zhi 	遠遠不止	c=1 d=1 t=5187
yuan yuan da yu 	遠遠大於	c=2 d=1.89583 t=21981
yuan yuan mei you 	遠遠沒有	c=1 d=1 t=4836
yuan ze 	原則	c=1 d=1 t=14832
yue 	月	c=17 d=1.7706 t=16189
yue 	約	c=1 d=1 t=20070
yue 	越	c=7 d=1.99005 t=18202
yue da 	越大	c=1 d=1 t=11530
yue dan he 	約旦河	c=1 d=1 t=15251
yue du 	閱讀	c=4 d=1.9802 t=6232
yue fa 	越發	c=1 d=1 t=12680
yue fen 	月份	c=1 d=1 t=2376
yue jie 	越界	c=1 d=1 t=4810
yue lai yue 	越來越	c=4 d=1.00475 t=22222
yue lai yue duo 	越來越多	c=1 d=1 t=21008
yue lai yue hao 	越來越好	c=1 d=1 t=8584
yue shou ru 	月收入	c=1 d=1 t=19996
yue shu 	約束	c=1 d=1 t=14085
yue wei 	約爲	c=1 d=1 t=20496
yue ying 	月影	c=0 d=0.1 t=5833
yue yong 	越用	c=1 d=1 t=7208
yue yu 	越獄	c=1 d=1 t=4351
yun 	暈	c=1 d=1 t=4991
yun 	運	c=1 d=1 t=12216
yun 	雲	c=10 d=1 t=22704
yun cang 	蘊藏	c=1 d=1 t=13907
yun fu 	孕婦	c=1 d=1 t=17867
yun suan 	運算	c=1 d=1.09465 t=4806
yun suan guo 	運算過	c=1 d=1 t=4796
yun xing 	運行	c=4 d=1.92875 t=8163
yun xu 	允許	c=1 d=1 t=4414
yun yun 	云云	c=3 d=2.4614 t=14057
za 	雜	c=1 d=0.1 t=12109
za di 	匝地	c=0 d=0.1 t=5247
za hui shi 	咋回事	c=1 d=1 t=1281
za ju 	雜劇	c=1 d=1 t=18810
za pai 	雜牌	c=1 d=1 t=6477
za zhi 	雜誌	c=1 d=1 t=6830
za zhi she 	雜誌社	c=1 d=1 t=4082
zai 	再	c=13 d=1.625 t=19651
zai 	在	c=225 d=0.896172 t=22679
zai 	宰	c=2 d=1.21438 t=16263
zai ci 	再次	c=2 d=1 t=19324
zai ci gan xie 	再次感謝	c=1 d=1 t=219
zai hu 	在乎	c=1 d=1 t=5182
zai huang 	災荒	c=1 d=1 t=13853
zai jia 	在家	c=2 d=1.09139 t=18002
zai jia ye shi 	在家也是	c=1 d=1 t=17985
zai man 	再慢	c=1 d=1 t=3479
zai mei you 	再沒有	c=0 d=0.1 t=2212
zai na 	在哪	c=0 d=0.1 t=49
zai na li 	在哪裏	c=1 d=1 t=51
zai na li wan 	在哪荔灣	c=1 d=1 t=50
zai nan xing 	災難性	c=1 d=1 t=22354
zai shi 	在世	c=1 d=1 t=14292
zai shuo 	再說	c=2 d=1 t=19386
zai wang 	再往	c=0 d=0.1 t=6355
zai wang hou 	再往後	c=1 d=1 t=6356
zai xian 	在線	c=4 d=1.49371 t=17395
zai ye 	再也	c=1 d=1 t=16387
zai ye bu 	再也不	c=0 d=0.1 t=5676
zai ye bu yong 	再也不用	c=2 d=1.00015 t=7436
zai yi 	在意	c=1 d=1.00002 t=21619
zai yi qi 	在一起	c=1 d=1 t=20159
zai yong 	在用	c=1 d=1 t=4637
zai yu 	在於	c=4 d=0.1 t=14458
zai zhe 	在這	c=0 d=0.1 t=16648
zan 	讚	c=3 d=1 t=14910
zan men 	咱們	c=1 d=0.109233 t=7285
zan men zhu yao 	咱們主要	c=1 d=1 t=7286
zan qie bu shuo 	暫且不說	c=1 d=1 t=19532
zan shi 	暫時	c=2 d=1 t=20814
zao 	早	c=2 d=1.02719 t=12982
zao can 	早餐	c=1 d=1 t=2882
zao chan er 	早產兒	c=1 d=1 t=21710
zao cheng 	造成	c=8 d=1.62172 t=21579
zao cheng le 	造成了	c=5 d=1.12979 t=21706
zao shou 	遭受	c=1 d=1 t=12639
zao wan 	早晚	c=0 d=0.1 t=3844
zao wan yao 	早晚要	c=1 d=1 t=3845
zao yang 	遭殃	c=1 d=1 t=3963
zao yu 	早於	c=1 d=1 t=15995
zao zao 	早早	c=1 d=1 t=13248
ze 	則	c=19 d=1.86949 t=22035
ze bu ran 	則不然	c=1 d=1 t=10485
ze ren 	責任	c=61 d=4.59476 t=22445
ze ren dui 	責任對	c=1 d=1 t=21053
ze ren gan 	責任感	c=4 d=1.00006 t=22659
ze ren shang 	責任上	c=1 d=1 t=22233
ze shi 	則是	c=1 d=1 t=10194
zei shou 	賊首	c=3 d=2.37557 t=19381
zen me 	怎麼	c=52 d=1.00001 t=22639
zen me ban 	怎麼辦	c=1 d=1 t=2671
zen me lai 	怎麼來	c=1 d=1 t=14215
zen me le 	怎麼了	c=1 d=1 t=17382
zen me shuo 	怎麼說	c=1 d=1 t=4537
zen me wan 	怎麼玩	c=1 d=1 t=497
zen me xie 	怎麼寫	c=1 d=1 t=4554
zen me yang 	怎麼樣	c=2 d=1.00004 t=2069
zen me yong 	怎麼用	c=1 d=1 t=3165
zen yang 	怎樣	c=1 d=1 t=11914
zeng 	曾	c=1 d=1 t=11553
zeng jia 	增加	c=3 d=1 t=22214
zeng song 	贈送	c=2 d=1 t=18402
zeng zhang 	增長	c=1 d=1 t=3892
zha 	渣	c=3 d=1 t=4521
zhai 	債	c=1 d=1 t=12165
zhai 	摘	c=1 d=1 t=15926
zhai tai 	債台	c=1 d=1 t=13178
zhai wu 	債務	c=5 d=0.108806 t=13181
zhai wu wei ji 	債務危機	c=1 d=1 t=12146
zhai yao 	摘要	c=1 d=1 t=6226
zhai zhu 	債主	c=1 d=1 t=9687
zhan 	佔	c=2 d=1 t=17053
zhan 	戰	c=2 d=1 t=14841
zhan chang 	戰場	c=1 d=1.00072 t=19548
zhan chang shang 	戰場上	c=1 d=1 t=18561
zhan dian 	站點	c=1 d=1 t=4135
zhan gong 	戰功	c=1 d=1 t=13397
zhan guo 	戰國	c=1 d=1 t=14540
zhan guo ce 	戰國策	c=1 d=1 t=16971
zhan li 	戰例	c=1 d=1 t=11921
zhan qi 	戰旗	c=3 d=2.95566 t=17047
zhan shi 	展示	c=1 d=1 t=7671
zhan shi 	戰事	c=2 d=1.99005 t=1855
zhan shi 	戰士	c=0 d=0.1 t=95
zhan tie 	粘貼	c=1 d=0.1 t=17083
zhan wen 	站穩	c=1 d=1 t=5098
zhan yi 	戰役	c=1 d=1 t=12438
zhan you 	佔優	c=2 d=0.368649 t=10409
zhan you ce lve 	佔優策略	c=4 d=3.30566 t=10478
zhan you quan 	佔有權	c=1 d=1 t=10854
zhan zai 	站在	c=1 d=1 t=14258
zhan zhan jing jing 	戰戰兢兢	c=1 d=1 t=13403
zhan zheng 	戰爭	c=0 d=0.1 t=19371
zhan zheng lai kan 	戰爭來看	c=1 d=1 t=19372
zhang 	張	c=5 d=0.131228 t=19688
zhang 	章	c=6 d=1 t=16345
zhang 	長	c=4 d=1 t=15959
zhang ai 	障礙	c=1 d=1 t=20233
zhang ba 	丈八	c=4 d=3.11804 t=18752
zhang ba she mao 	丈八蛇矛	c=12 d=5.30384 t=18793
zhang da 	長大	c=1 d=1 t=4694
zhang dan 	賬單	c=0 d=0.1 t=3554
zhang dan hao 	賬單好	c=1 d=1 t=3555
zhang dao 	漲到	c=1 d=1 t=11724
zhang fei 	張飛	c=42 d=7.6822 t=19707
zhang hao 	帳號	c=2 d=1 t=8522
zhang he 	張頜	c=2 d=1.42528 t=19377
zhang hu 	賬戶	c=2 d=1.00065 t=13626
zhang huang hou 	張皇后	c=2 d=1.9802 t=18987
zhang jie 	章節	c=5 d=1.45515 t=12505
zhang luo 	張羅	c=1 d=1 t=15127
zhang san 	張三	c=0 d=0.1 t=19086
zhang san ye 	張三爺	c=2 d=1.0703 t=19618
zhang wo 	掌握	c=1 d=1 t=10771
zhang xiang 	長相	c=10 d=2.55918 t=19221
zhang xiang ru he 	長相如何	c=1 d=1 t=18984
zhang xing cai 	張星彩	c=1 d=1 t=19689
zhang zi 	長子	c=6 d=1 t=22550
zhao 	找	c=3 d=0.112778 t=9813
zhao 	昭	c=2 d=1 t=12586
zhao 	着	c=1 d=1 t=19636
zhao 	罩	c=1 d=1 t=19637
zhao bu dao 	找不到	c=3 d=1 t=19181
zhao dao 	找到	c=7 d=1.05105 t=18406
zhao dao le 	找到了	c=2 d=1 t=8648
zhao dao yi ge 	找到一個	c=1 d=1 t=1108
zhao dao zhi hou 	找到之後	c=1 d=1 t=8948
zhao gao 	昭告	c=1 d=1 t=15259
zhao ge 	找個	c=2 d=1.98511 t=2206
zhao gong 	昭公	c=1 d=1 t=16291
zhao gu 	照顧	c=1 d=1 t=1959
zhao huan 	召喚	c=1 d=1 t=3497
zhao hui 	找回	c=1 d=1 t=3040
zhao ji 	着急	c=1 d=1 t=608
zhao xuan 	昭宣	c=1 d=1 t=12715
zhao zi long 	趙子龍	c=2 d=1.96561 t=22703
zhe 	着	c=10 d=1.03306 t=21946
zhe 	者	c=7 d=1.00152 t=21690
zhe 	這	c=50 d=0.112854 t=22474
zhe ang 	這昂	c=1 d=1 t=2324
zhe cai 	這才	c=1 d=1 t=17396
zhe cai shi 	這纔是	c=1 d=1 t=17124
zhe ci 	這次	c=1 d=1 t=7976
zhe da zi 	這打字	c=1 d=1 t=43
zhe dao 	這倒	c=0 d=0.1 t=6413
zhe dao shi 	這倒是	c=1 d=1 t=6414
zhe duan 	這段	c=2 d=1 t=19192
zhe duan dai ma 	這段代碼	c=1 d=1 t=4645
zhe duan hua 	這段話	c=1 d=0.697501 t=19532
zhe er 	這兒	c=0 d=0.1 t=14548
zhe er ren 	這兒人	c=1 d=1 t=14549
zhe fang mian 	這方面	c=2 d=1 t=21871
zhe ge 	這個	c=148 d=1.92263 t=22576
zhe ge hai ke yi 	這個還可以	c=1 d=1 t=6382
zhe ge ren 	這個人	c=1 d=1 t=7067
zhe ge shi 	這個是	c=1 d=1 t=6939
zhe ge shi qing 	這個事情	c=1 d=1 t=4
zhe ge wan yi 	這個玩意	c=1 d=1 t=4717
zhe ge wen ti 	這個問題	c=0 d=0.1 t=19
zhe ge yi yi shang 	這個以以上	c=1 d=1 t=22093
zhe geng 	這更	c=0 d=0.1 t=18951
zhe geng shi 	這更是	c=1 d=1 t=18952
zhe hua 	這話	c=0 d=0.1 t=12712
zhe hua zong 	這話總	c=1 d=1 t=12713
zhe jian shi qing 	這件事情	c=1 d=1 t=14984
zhe jiu 	這就	c=2 d=1 t=16579
zhe jiu dui le 	這就對了	c=1 d=1 t=14441
zhe jiu shi 	這就是	c=3 d=1 t=19279
zhe jiu xing le 	這就行了	c=1 d=1 t=17612
zhe ju 	這句	c=0 d=0.1 t=19644
zhe ju hua 	這句話	c=1 d=1 t=3439
zhe ju kan 	這句看	c=1 d=1 t=19645
zhe li 	這裏	c=17 d=1 t=22325
zhe lia 	這倆	c=3 d=1.96618 t=8879
zhe liang ben shu 	這兩本書	c=3 d=2.8329 t=19082
zhe liang bu shu 	這兩部書	c=1 d=1 t=19025
zhe liang ge 	這兩個	c=4 d=1 t=9880
zhe me 	這麼	c=30 d=1.06461 t=19471
zhe me duo 	這麼多	c=3 d=1 t=7000
zhe me gao 	這麼搞	c=1 d=1 t=4568
zhe me xiang 	這麼想	c=1 d=1 t=1292
zhe me yi lai 	這麼一來	c=1 d=1 t=18741
zhe mo 	折磨	c=2 d=1.99501 t=5729
zhe pian 	這篇	c=3 d=1 t=17166
zhe pian wen zhang 	這篇文章	c=2 d=1.7827 t=9898
zhe rang 	這讓	c=1 d=1 t=13515
zhe shi 	這是	c=13 d=2.24352 t=22566
zhe teng 	折騰	c=1 d=0.100002 t=7112
zhe teng le 	折騰了	c=1 d=1 t=7113
zhe wan yi 	這玩意	c=3 d=1 t=8652
zhe wen zhang 	這文章	c=1 d=1 t=6824
zhe xian 	折線	c=1 d=1.06035 t=17500
zhe xian tu 	折線圖	c=4 d=3.97017 t=17403
zhe xie 	這些	c=18 d=1.00076 t=22304
zhe xie er 	這些兒	c=1 d=1 t=9246
zhe xie ge 	這些個	c=1 d=1 t=485
zhe yang 	這樣	c=46 d=1.00195 t=20540
zhe yang hai ke yi 	這樣還可以	c=1 d=1 t=5700
zhe yang jiu 	這樣就	c=1 d=1 t=34
zhe yang ke neng 	這樣可能	c=1 d=1 t=5520
zhe yang le 	這樣了	c=1 d=1 t=3495
zhe yao 	這要	c=0 d=0.1 t=16378
zhe yao shi 	這要是	c=1 d=1 t=16379
zhe ye 	這也	c=3 d=1 t=20117
zhe ye shi 	這也是	c=1 d=1 t=21550
zhe yi 	這一	c=8 d=1.00851 t=22071
zhe yi bu 	這一步	c=1 d=1 t=11997
zhe yi dian 	這一點	c=3 d=1.00025 t=21549
zhe yi duan 	這一段	c=1 d=1 t=9645
zhe yi nian 	這一年	c=1 d=1 t=17524
zhe yi nian duo 	這一年多	c=1 d=1 t=7226
zhe yi qie 	這一切	c=1 d=1 t=12671
zhe yi shi qi 	這一時期	c=1 d=1 t=20120
zhe zai 	這在	c=1 d=1 t=21291
zhe zhong 	這種	c=32 d=1.21057 t=22326
zhe zhong na ge 	這種那個	c=2 d=1 t=22141
zhe zhong qing kuang xia 	這種情況下	c=1 d=1 t=21074
zhen 	真	c=23 d=1.3467 t=19404
zhen 	貞	c=1 d=1 t=12648
zhen 	針	c=1 d=1 t=9466
zhen bu cuo 	真不錯	c=1 d=1 t=6502
zhen bu zhi dao 	真不知道	c=1 d=1 t=5266
zhen cheng 	真誠	c=2 d=1.96079 t=14869
zhen dui 	針對	c=4 d=1.06822 t=21374
zhen dui xing 	針對性	c=2 d=1 t=21121
zhen fen qi lai 	振奮起來	c=1 d=1 t=3937
zhen gui 	珍貴	c=1 d=1 t=18385
zhen jue de 	真覺得	c=1 d=1 t=3610
zhen mei you 	真沒有	c=1 d=1 t=7024
